book_info,book_name
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,                追风筝的人                              
[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,                解忧杂货店                              
[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,                小王子                              
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,                白夜行                              
钱锺书 / 人民文学出版社 / 1991-2 / 19.00,                围城                              
刘慈欣 / 重庆出版社 / 2008-1 / 23.00,                三体                                   : “地球往事”三部曲之一 
[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,                嫌疑人X的献身                              
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,                挪威的森林                              
余华 / 南海出版公司 / 1998-5 / 12.00元,                活着                              
[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,                红楼梦                              
[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,                百年孤独                              
柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,                看见                              
[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,                不能承受的生命之轻                              
[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,                达·芬奇密码                              
路遥 / 人民文学出版社 / 2005-1 / 64.00元,                平凡的世界（全三部）                              
刘慈欣 / 重庆出版社 / 2008-5 / 32.00,                三体Ⅱ                                   : 黑暗森林 
刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,                三体Ⅲ                                   : 死神永生 
[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,                简爱（英文全本）                              
[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,                哈利·波特与魔法石                              
高铭 / 武汉大学出版社 / 2010-2 / 29.80元,                天才在左 疯子在右                                   : 国内第一本精神病人访谈手记 
杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,                我们仨                              
[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,                傲慢与偏见                              
刘瑜 / 上海三联书店 / 2010-1 / 25.00元,                送你一颗子弹                              
当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,                明朝那些事儿（壹）                                   : 洪武大帝 
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,                飘                              
